,Year,Rank,Name,Stat
0,2020,1.,Dylan Bundy, 1.0000
1,2020,1.,Kyle Gibson, 1.0000
2,2020,1.,Marco Gonzales, 1.0000
3,2020,1.,Andrew Heaney, 1.0000
4,2020,1.,Lance Lynn, 1.0000
5,2020,1.,Martin Perez, 1.0000
6,2020,1.,Trevor Bauer, 1.0000
7,2020,1.,Jacob deGrom, 1.0000
8,2020,1.,Zac Gallen, 1.0000
9,2020,1.,Dinelson Lamet, 1.0000
10,2020,1.,Aaron Nola, 1.0000
11,2020,1.,Antonio Senzatela, 1.0000
12,2020,1.,Jose Berrios, 1.0000
13,2020,1.,Matthew Boyd, 1.0000
14,2020,1.,Gerrit Cole, 1.0000
15,2020,1.,Zack Greinke, 1.0000
16,2020,1.,Dallas Keuchel, 1.0000
17,2020,1.,Hyun Jin Ryu, 1.0000
18,2020,1.,Luis Castillo, 1.0000
19,2020,1.,Johnny Cueto, 1.0000
20,2019,1.,Shane Bieber, 1.0000
21,2019,1.,Gerrit Cole, 1.0000
22,2019,1.,Lucas Giolito, 1.0000
23,2019,1.,Charlie Morton, 1.0000
24,2019,1.,Eduardo Rodriguez, 1.0000
25,2019,1.,Justin Verlander, 1.0000
26,2019,1.,Walker Buehler, 1.0000
27,2019,1.,Anthony DeSclafani, 1.0000
28,2019,1.,Jack Flaherty, 1.0000
29,2019,1.,Clayton Kershaw, 1.0000
30,2019,1.,Miles Mikolas, 1.0000
31,2019,1.,Aaron Nola, 1.0000
32,2019,1.,Julio Teheran, 1.0000
33,2019,1.,Trevor Bauer, 1.0000
34,2019,1.,Lance Lynn, 1.0000
35,2019,1.,Mike Minor, 1.0000
36,2019,1.,Patrick Corbin, 1.0000
37,2019,1.,Jose Quintana, 1.0000
38,2019,1.,Hyun Jin Ryu, 1.0000
39,2019,1.,Mike Soroka, 1.0000
40,2018,1.,Trevor Bauer, 1.0000
41,2018,1.,Carlos Carrasco, 1.0000
42,2018,1.,Dallas Keuchel, 1.0000
43,2018,1.,Reynaldo Lopez, 1.0000
44,2018,1.,David Price, 1.0000
45,2018,1.,James Shields, 1.0000
46,2018,1.,Kyle Freeland, 1.0000
47,2018,1.,Jon Lester, 1.0000
48,2018,1.,Julio Teheran, 1.0000
49,2018,1.,Zack Wheeler, 1.0000
50,2018,1.,Mike Fiers, 1.0000
51,2018,1.,Kyle Gibson, 1.0000
52,2018,1.,Corey Kluber, 1.0000
53,2018,1.,Wade LeBlanc, 1.0000
54,2018,1.,Charlie Morton, 1.0000
55,2018,1.,Luis Castillo, 1.0000
56,2018,1.,Patrick Corbin, 1.0000
57,2018,1.,Zack Greinke, 1.0000
58,2018,1.,Tanner Roark, 1.0000
59,2018,1.,Jameson Taillon, 1.0000
60,2017,1.,Andrew Cashner, 1.0000
61,2017,1.,Jason Vargas, 1.0000
62,2017,1.,Zach Davies, 1.0000
63,2017,1.,Zack Greinke, 1.0000
64,2017,1.,John Lackey, 1.0000
65,2017,1.,Mike Leake, 1.0000
66,2017,1.,Carlos Carrasco, 1.0000
67,2017,1.,Jason Hammel, 1.0000
68,2017,1.,Chris Sale, 1.0000
69,2017,1.,Masahiro Tanaka, 1.0000
70,2017,1.,Patrick Corbin, 1.0000
71,2017,1.,Gio Gonzalez, 1.0000
72,2017,1.,Jon Lester, 1.0000
73,2017,1.,Aaron Nola, 1.0000
74,2017,1.,Clayton Richard, 1.0000
75,2017,1.,Michael Wacha, 1.0000
76,2017,1.,Jeremy Hellickson, 1.0000
77,2016,1.,Marco Estrada, 1.0000
78,2016,1.,Kendall Graveman, 1.0000
79,2016,1.,J.A. Happ, 1.0000
80,2016,1.,Ian Kennedy, 1.0000
81,2016,1.,David Price, 1.0000
82,2016,1.,Chris Sale, 1.0000
83,2016,1.,Madison Bumgarner, 1.0000
84,2016,1.,Kyle Hendricks, 1.0000
85,2016,1.,John Lackey, 1.0000
86,2016,1.,Jon Lester, 1.0000
87,2016,1.,Dan Straily, 1.0000
88,2016,1.,Wade Miley, 1.0000
89,2016,1.,Trevor Bauer, 1.0000
90,2016,1.,Hisashi Iwakuma, 1.0000
91,2016,1.,Dallas Keuchel, 1.0000
92,2016,1.,Collin McHugh, 1.0000
93,2016,1.,Jeremy Hellickson, 1.0000
94,2016,1.,Adam Wainwright, 1.0000
95,2015,1.,R.A. Dickey, 1.0000
96,2015,1.,Sonny Gray, 1.0000
97,2015,1.,Corey Kluber, 1.0000
98,2015,1.,Jake Odorizzi, 1.0000
99,2015,1.,Hector Santiago, 1.0000
100,2015,1.,Brett Anderson, 1.0000
101,2015,1.,Rubby De La Rosa, 1.0000
102,2015,1.,Gio Gonzalez, 1.0000
103,2015,1.,Max Scherzer, 1.0000
104,2015,1.,Johnny Cueto, 1.0000
105,2015,1.,Carlos Carrasco, 1.0000
106,2015,1.,Mike Pelfrey, 1.0000
107,2015,1.,Jose Quintana, 1.0000
108,2015,1.,Jeff Samardzija, 1.0000
