,Year,Rank,Name,Stat
0,2020,1.,Gabe Kapler, 35
1,2020,2.,Rocco Baldelli, 30
2,2020,3.,Charlie Montoyo, 29
3,2020,3.,Joe Girardi, 29
4,2020,5.,Terry Francona, 26
5,2020,5.,Don Mattingly, 26
6,2020,7.,Brandon Hyde, 24
7,2020,7.,Torey Lovullo, 24
8,2020,7.,Kevin Cash, 24
9,2020,10.,David Bell, 23
10,2020,10.,Bob Melvin, 23
11,2020,10.,Joe Maddon, 23
12,2019,1.,Andy Green, 50
13,2019,2.,Kevin Cash, 48
14,2019,3.,Chris Woodward, 46
15,2019,4.,Don Mattingly, 43
16,2019,4.,Gabe Kapler, 43
17,2019,6.,AJ Hinch, 39
18,2019,6.,Rocco Baldelli, 39
19,2019,6.,Charlie Montoyo, 39
20,2019,6.,Mike Shildt, 39
21,2019,10.,Bud Black, 38
22,2019,10.,Scott Servais, 38
23,2018,1.,Kevin Cash, 54
24,2018,2.,Clint Hurdle, 48
25,2018,3.,Bud Black, 46
26,2018,4.,Torey Lovullo, 45
27,2018,4.,Brian Snitker, 45
28,2018,4.,Paul Molitor, 45
29,2018,7.,Gabe Kapler, 44
30,2018,7.,Andy Green, 44
31,2018,9.,Joe Maddon, 43
32,2018,9.,Alex Cora, 43
33,2017,1.,Jeff Banister, 62
34,2017,2.,Kevin Cash, 59
35,2017,3.,Joe Maddon, 53
36,2017,4.,Mike Matheny, 50
37,2017,5.,Clint Hurdle, 49
38,2017,6.,Brian Snitker, 47
39,2017,7.,John Gibbons, 45
40,2017,8.,John Farrell, 43
41,2017,8.,Craig Counsell, 43
42,2017,10.,Andy Green, 42
43,2016,1.,Andy Green, 57
44,2016,2.,Clint Hurdle, 55
45,2016,3.,Walt Weiss, 54
46,2016,3.,Mike Matheny, 54
47,2016,5.,Don Mattingly, 53
48,2016,6.,Bryan Price, 51
49,2016,6.,Jeff Banister, 51
50,2016,8.,Terry Francona, 49
51,2016,8.,Bruce Bochy, 49
52,2016,8.,John Gibbons, 49
53,2016,8.,Kevin Cash, 49
54,2015,1.,Kevin Cash, 54
55,2015,2.,John Farrell, 52
56,2015,3.,Jeff Banister, 50
57,2015,4.,AJ Hinch, 48
58,2015,4.,Joe Maddon, 48
59,2015,6.,Walt Weiss, 47
60,2015,7.,Fredi Gonzalez, 46
61,2015,8.,John Gibbons, 45
62,2015,9.,Clint Hurdle, 44
63,2015,10.,Paul Molitor, 42
64,2014,1.,Rick Renteria, 57
65,2014,2.,Joe Maddon, 49
66,2014,3.,John Gibbons, 47
67,2014,4.,Ron Gardenhire, 40
68,2014,5.,Brad Ausmus, 39
69,2014,6.,Don Mattingly, 38
70,2014,7.,Walt Weiss, 37
71,2014,8.,Kirk Gibson, 36
72,2014,8.,Mike Scioscia, 36
73,2014,8.,Robin Ventura, 36
