,Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
0,2020,15,383,28.4,4.66,4.47,898,0.98,0.02,0.01,0.06,0.21,8.56,7.99,4.66,4.25,1.27,3.42,0.14,8.70,0.47,0.04,0.36,36.85,,1.332,.293,8.4,1.3,3.6,9.1,2.55,0.60
1,2019,15,426,28.3,4.71,4.38,2430,0.99,0.01,0.00,0.06,0.25,8.94,8.53,4.71,4.36,1.35,3.28,0.20,8.88,0.42,0.03,0.32,38.30,,1.321,.297,8.6,1.4,3.3,8.9,2.71,0.59
2,2018,15,431,28.2,4.34,4.02,2432,0.99,0.01,0.00,0.07,0.26,8.98,8.33,4.34,4.01,1.09,3.30,0.25,8.55,0.38,0.04,0.34,38.12,,1.296,.295,8.4,1.1,3.3,8.6,2.59,0.59
3,2017,15,381,28.4,4.63,4.34,2430,0.99,0.01,0.01,0.06,0.25,8.90,8.69,4.63,4.29,1.22,3.34,0.24,8.30,0.37,0.03,0.36,38.21,,1.351,.302,8.8,1.2,3.4,8.4,2.49,0.57
4,2016,15,398,28.1,4.48,4.16,2428,0.98,0.02,0.01,0.06,0.26,8.94,8.64,4.48,4.13,1.10,3.22,0.25,8.13,0.36,0.03,0.38,38.15,,1.327,.301,8.7,1.1,3.2,8.2,2.53,0.61
5,2015,15,393,28.4,4.21,3.90,2430,0.98,0.02,0.01,0.07,0.27,8.94,8.68,4.21,3.88,0.97,2.93,0.23,7.83,0.32,0.03,0.34,37.83,,1.299,.303,8.7,1.0,2.9,7.9,2.67,0.59
6,2014,15,347,28.5,4.00,3.66,2430,0.98,0.02,0.01,0.07,0.27,8.98,8.49,4.00,3.65,0.84,2.88,0.22,7.76,0.34,0.02,0.34,37.77,,1.267,.299,8.5,0.8,2.9,7.8,2.69,0.60
7,2013,15,352,28.1,4.04,3.73,2430,0.98,0.02,0.01,0.07,0.26,8.99,8.55,4.04,3.73,0.89,2.97,0.23,7.48,0.33,0.03,0.34,37.94,,1.282,.296,8.6,0.9,3.0,7.5,2.52,0.58
8,2012,16,374,28.5,4.26,3.94,2592,0.98,0.02,0.01,0.06,0.26,8.90,8.62,4.26,3.90,0.96,3.05,0.24,7.61,0.29,0.03,0.32,37.89,,1.311,.300,8.7,1.0,3.1,7.7,2.50,0.64
9,2011,16,357,28.5,4.16,3.81,2590,0.97,0.03,0.01,0.07,0.27,8.97,8.63,4.16,3.80,0.90,3.12,0.30,7.27,0.31,0.04,0.30,38.15,,1.309,.296,8.7,0.9,3.1,7.3,2.33,0.63
10,2010,16,360,28.7,4.35,4.02,2592,0.97,0.03,0.01,0.08,0.25,8.91,8.72,4.35,3.97,0.92,3.28,0.29,7.31,0.32,0.04,0.32,38.21,,1.348,.300,8.8,0.9,3.3,7.4,2.23,0.62
11,2009,16,370,28.6,4.49,4.19,2590,0.97,0.03,0.01,0.06,0.25,8.92,8.81,4.49,4.15,0.98,3.49,0.30,7.03,0.33,0.03,0.34,38.47,,1.378,.298,8.9,1.0,3.5,7.1,2.02,0.59
12,2008,16,362,28.9,4.63,4.29,2588,0.98,0.02,0.01,0.06,0.23,8.94,9.01,4.63,4.26,1.02,3.43,0.31,6.94,0.34,0.03,0.32,38.75,,1.391,.300,9.1,1.0,3.4,7.0,2.03,0.61
13,2007,16,379,29.0,4.78,4.43,2594,0.98,0.02,0.01,0.05,0.25,8.96,9.23,4.78,4.41,1.04,3.33,0.30,6.67,0.36,0.03,0.29,38.93,,1.401,.300,9.3,1.0,3.3,6.7,2.00,0.62
14,2006,16,360,29.1,4.85,4.49,2590,0.97,0.03,0.01,0.05,0.24,8.93,9.17,4.85,4.45,1.11,3.37,0.34,6.66,0.40,0.03,0.30,38.87,,1.403,.300,9.2,1.1,3.4,6.7,1.98,0.65
15,2005,16,341,29.2,4.51,4.22,2594,0.96,0.04,0.02,0.06,0.26,8.89,8.97,4.51,4.17,1.01,3.25,0.30,6.49,0.37,0.03,0.29,38.36,,1.376,.297,9.1,1.0,3.3,6.6,1.99,0.63
16,2004,16,343,29.2,4.66,4.30,2590,0.97,0.03,0.01,0.05,0.27,8.94,9.02,4.66,4.27,1.10,3.36,0.33,6.69,0.37,0.03,0.29,38.71,,1.386,.296,9.1,1.1,3.4,6.7,1.99,0.64
17,2003,16,345,28.8,4.60,4.28,2590,0.96,0.04,0.02,0.06,0.26,8.92,8.94,4.60,4.24,1.05,3.39,0.31,6.59,0.37,0.03,0.33,38.58,,1.382,.295,9.0,1.1,3.4,6.6,1.94,0.65
18,2002,16,332,28.8,4.46,4.11,2588,0.96,0.04,0.02,0.06,0.26,8.93,8.76,4.46,4.07,1.01,3.46,0.37,6.71,0.34,0.03,0.28,38.42,,1.369,.293,8.8,1.0,3.5,6.8,1.94,0.67
19,2001,16,338,28.9,4.70,4.36,2592,0.96,0.04,0.02,0.05,0.24,8.90,8.89,4.70,4.31,1.15,3.29,0.33,6.92,0.37,0.03,0.29,38.36,,1.368,.295,9.0,1.2,3.3,7.0,2.10,0.68
20,2000,16,341,28.7,5.02,4.63,2593,0.95,0.05,0.01,0.04,0.24,8.91,9.11,5.02,4.58,1.16,3.80,0.29,6.68,0.34,0.04,0.32,39.07,,1.449,.298,9.2,1.2,3.8,6.7,1.76,0.72
21,1999,16,313,28.4,4.95,4.56,2591,0.95,0.05,0.01,0.04,0.25,8.93,9.18,4.95,4.52,1.12,3.70,0.26,6.64,0.30,0.04,0.34,39.04,,1.443,.300,9.3,1.1,3.7,6.7,1.79,0.74
22,1998,16,310,28.3,4.60,4.23,2596,0.94,0.06,0.02,0.06,0.26,8.95,8.97,4.60,4.21,1.00,3.37,0.25,6.76,0.32,0.06,0.32,38.58,,1.378,.298,9.0,1.0,3.4,6.8,2.01,0.71
23,1997,14,282,28.1,4.60,4.20,2268,0.94,0.06,0.02,0.05,0.25,8.93,8.90,4.60,4.17,0.96,3.44,0.27,6.83,0.34,0.05,0.31,38.53,,1.382,.299,9.0,1.0,3.5,6.9,1.99,0.74
24,1996,14,268,28.4,4.68,4.21,2268,0.94,0.06,0.02,0.05,0.26,8.95,8.99,4.68,4.19,0.98,3.31,0.32,6.72,0.30,0.06,0.34,38.59,,1.375,.298,9.0,1.0,3.3,6.8,2.03,0.79
25,1995,14,290,27.9,4.63,4.18,2014,0.94,0.06,0.02,0.06,0.25,8.97,9.03,4.63,4.16,0.95,3.31,0.30,6.61,0.31,0.06,0.34,38.64,,1.376,.299,9.1,1.0,3.3,6.6,2.00,0.76
26,1994,14,236,28.1,4.62,4.21,1606,0.94,0.06,0.02,0.05,0.26,8.94,9.15,4.62,4.18,0.95,3.23,0.35,6.32,0.28,0.07,0.34,38.56,,1.385,.300,9.2,1.0,3.3,6.4,1.95,0.75
27,1993,14,256,28.2,4.49,4.04,2270,0.93,0.07,0.02,0.05,0.26,8.94,9.00,4.49,4.01,0.86,3.13,0.33,5.88,0.25,0.09,0.33,38.32,,1.357,.294,9.1,0.9,3.2,5.9,1.88,0.83
28,1992,12,212,28.3,3.88,3.50,1944,0.91,0.09,0.04,0.08,0.25,9.00,8.51,3.88,3.50,0.65,3.08,0.35,5.83,0.20,0.07,0.29,37.89,,1.287,.285,8.5,0.6,3.1,5.8,1.90,0.72
