,Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
0,2020,15,383,28.4,4.66,4.47,898,880,18,7,58,193,7689.1,7173,4185,3815,1144,3068,126,7810,422,37,325,33088,,1.332,.293,8.4,1.3,3.6,9.1,2.55,539
1,2019,15,426,28.3,4.71,4.38,2430,2412,18,11,143,607,21732.2,20729,11449,10587,3286,7974,482,21582,1021,71,783,93069,,1.321,.297,8.6,1.4,3.3,8.9,2.71,1443
2,2018,15,431,28.2,4.34,4.02,2432,2415,17,8,169,621,21828.1,20263,10555,9760,2653,8020,610,20782,926,86,833,92700,,1.296,.295,8.4,1.1,3.3,8.6,2.59,1429
3,2017,15,381,28.4,4.63,4.34,2430,2403,27,13,135,605,21626.1,21116,11245,10418,2960,8108,588,20158,908,83,864,92854,,1.351,.302,8.8,1.2,3.4,8.4,2.49,1387
4,2016,15,398,28.1,4.48,4.16,2428,2389,39,21,154,632,21695.1,20983,10888,10035,2676,7808,600,19738,880,75,919,92623,,1.327,.301,8.7,1.1,3.2,8.2,2.53,1476
5,2015,15,393,28.4,4.21,3.90,2430,2392,38,21,181,653,21713.1,21091,10225,9420,2355,7112,560,19023,782,79,820,91923,,1.299,.303,8.7,1.0,2.9,7.9,2.67,1423
6,2014,15,347,28.5,4.00,3.66,2430,2373,57,34,180,645,21815.0,20633,9709,8868,2035,7003,523,18853,820,54,833,91773,,1.267,.299,8.5,0.8,2.9,7.8,2.69,1455
7,2013,15,352,28.1,4.04,3.73,2430,2370,60,27,173,629,21847.1,20781,9819,9066,2152,7219,566,18174,800,67,832,92192,,1.282,.296,8.6,0.9,3.0,7.5,2.52,1405
8,2012,16,374,28.5,4.26,3.94,2592,2533,59,35,168,671,23070.1,22355,11037,10106,2481,7894,613,19715,759,77,818,98206,,1.311,.300,8.7,1.0,3.1,7.7,2.50,1661
9,2011,16,357,28.5,4.16,3.81,2590,2510,80,36,174,707,23244.0,22348,10772,9843,2328,8069,766,18833,796,106,782,98820,,1.309,.296,8.7,0.9,3.1,7.3,2.33,1621
10,2010,16,360,28.7,4.35,4.02,2592,2520,72,36,202,636,23088.1,22608,11281,10300,2395,8508,763,18956,823,95,838,99046,,1.348,.300,8.8,0.9,3.3,7.4,2.23,1620
11,2009,16,370,28.6,4.49,4.19,2590,2514,76,30,150,645,23098.2,22806,11626,10753,2548,9028,780,18205,853,68,872,99649,,1.378,.298,8.9,1.0,3.5,7.1,2.02,1533
12,2008,16,362,28.9,4.63,4.29,2588,2527,61,30,143,608,23135.1,23315,11976,11023,2632,8867,797,17959,879,88,825,100275,,1.391,.300,9.1,1.0,3.4,7.0,2.03,1584
13,2007,16,379,29.0,4.78,4.43,2594,2546,48,16,128,644,23247.1,23930,12388,11430,2701,8640,789,17299,942,78,744,100975,,1.401,.300,9.3,1.0,3.3,6.7,2.00,1616
14,2006,16,360,29.1,4.85,4.49,2590,2512,78,38,136,618,23137.0,23746,12558,11534,2868,8719,882,17258,1038,76,767,100686,,1.403,.300,9.2,1.1,3.4,6.7,1.98,1690
15,2005,16,341,29.2,4.51,4.22,2594,2490,104,40,148,666,23052.1,23280,11709,10807,2616,8439,766,16830,954,87,745,99505,,1.376,.297,9.1,1.0,3.3,6.6,1.99,1624
16,2004,16,343,29.2,4.66,4.30,2590,2519,71,36,136,697,23146.0,23371,12060,11067,2860,8702,867,17323,946,69,758,100259,,1.386,.296,9.1,1.1,3.4,6.7,1.99,1646
17,2003,16,345,28.8,4.60,4.28,2590,2491,99,41,150,661,23110.1,23152,11917,10986,2707,8778,794,17066,956,84,864,99923,,1.382,.295,9.0,1.1,3.4,6.6,1.94,1696
18,2002,16,332,28.8,4.46,4.11,2588,2489,99,44,153,666,23105.0,22680,11546,10539,2602,8956,955,17374,883,76,718,99433,,1.369,.293,8.8,1.0,3.5,6.8,1.94,1738
19,2001,16,338,28.9,4.70,4.36,2592,2496,96,41,138,621,23074.1,23037,12186,11168,2975,8537,859,17930,953,79,747,99440,,1.368,.295,9.0,1.2,3.3,7.0,2.10,1768
20,2000,16,341,28.7,5.02,4.63,2593,2466,127,38,112,627,23103.1,23624,13021,11884,2997,9847,744,17323,892,98,826,101312,,1.449,.298,9.2,1.2,3.8,6.7,1.76,1879
21,1999,16,313,28.4,4.95,4.56,2591,2463,128,37,93,647,23134.2,23788,12838,11722,2909,9595,679,17206,784,112,884,101164,,1.443,.300,9.3,1.1,3.7,6.7,1.79,1915
22,1998,16,310,28.3,4.60,4.23,2596,2435,161,57,143,675,23240.0,23279,11943,10922,2585,8743,646,17552,821,143,835,100162,,1.378,.298,9.0,1.0,3.4,6.8,2.01,1850
23,1997,14,282,28.1,4.60,4.20,2268,2125,143,50,113,571,20255.2,20190,10427,9453,2172,7807,623,15497,769,112,697,87397,,1.382,.299,9.0,1.0,3.5,6.9,1.99,1677
24,1996,14,268,28.4,4.68,4.21,2268,2141,127,43,117,580,20289.0,20398,10623,9500,2220,7501,734,15252,683,131,782,87527,,1.375,.298,9.0,1.0,3.3,6.8,2.03,1786
25,1995,14,290,27.9,4.63,4.18,2014,1890,124,50,114,513,18056.0,18184,9329,8387,1917,6668,613,13309,624,117,694,77825,,1.376,.299,9.1,1.0,3.3,6.6,2.00,1539
26,1994,14,236,28.1,4.62,4.21,1606,1504,102,30,78,411,14356.2,14695,7422,6717,1532,5193,559,10147,451,106,548,61930,,1.385,.300,9.2,1.0,3.3,6.4,1.95,1205
27,1993,14,256,28.2,4.49,4.04,2270,2108,162,49,110,599,20284.2,20427,10190,9105,1956,7104,743,13358,567,195,747,86985,,1.357,.294,9.1,0.9,3.2,5.9,1.88,1876
28,1992,12,212,28.3,3.88,3.50,1944,1767,177,77,157,490,17500.2,16538,7539,6811,1262,5978,689,11342,395,129,565,73658,,1.287,.285,8.5,0.6,3.1,5.8,1.90,1401
29,1991,12,214,28.1,4.10,3.68,1940,1790,150,51,122,514,17387.2,16363,7955,7118,1430,6254,626,11446,367,138,625,73441,,1.301,.281,8.5,0.7,3.2,5.9,1.83,1504
30,1990,12,228,28.4,4.20,3.79,1944,1744,200,78,116,476,17381.1,16917,8173,7321,1521,6221,797,11164,352,187,580,73989,,1.331,.286,8.8,0.8,3.2,5.8,1.79,1516
31,1989,12,216,28.8,3.94,3.49,1946,1728,218,81,147,487,17534.0,16215,7673,6809,1365,6251,853,11354,318,239,589,73829,,1.281,.277,8.3,0.7,3.2,5.8,1.82,1610
32,1988,12,205,28.5,3.88,3.45,1938,1668,270,99,153,480,17480.2,16277,7522,6695,1279,5793,766,11032,368,366,551,73259,,1.263,.279,8.4,0.7,3.0,5.7,1.90,1578
33,1987,12,210,28.2,4.52,4.08,1942,1753,189,65,98,496,17379.0,17275,8771,7878,1824,6577,782,11657,349,219,571,74521,,1.372,.290,8.9,0.9,3.4,6.0,1.77,1567
34,1986,12,205,28.3,4.18,3.72,1938,1714,224,59,113,480,17471.0,16643,8096,7214,1523,6560,803,11648,312,176,566,74006,,1.328,.285,8.6,0.8,3.4,6.0,1.78,1670
35,1985,12,194,28.2,4.07,3.59,1942,1675,267,92,149,455,17474.2,16596,7899,6971,1424,6373,780,10674,280,120,501,73863,,1.314,.280,8.5,0.7,3.3,5.5,1.67,1621
36,1984,12,186,28.1,4.06,3.59,1942,1708,234,72,130,480,17424.2,16842,7894,6947,1278,6149,707,10929,249,183,513,73708,,1.319,.287,8.7,0.7,3.2,5.6,1.78,1674
37,1983,12,188,28.5,4.10,3.63,1948,1672,276,86,115,474,17461.0,16781,7993,7036,1398,6424,813,10749,292,169,512,73922,,1.329,.284,8.6,0.7,3.3,5.5,1.67,1667
38,1982,12,179,28.7,4.09,3.60,1944,1655,289,77,117,469,17543.1,17085,7947,7019,1299,5964,799,10300,305,145,509,74102,,1.314,.286,8.8,0.7,3.1,5.3,1.73,1684
39,1981,12,171,28.7,3.91,3.49,1288,1112,176,66,103,301,11635.1,11141,5035,4512,719,4107,505,6332,185,108,355,49024,,1.310,.282,8.6,0.6,3.2,4.9,1.54,1138
40,1980,12,183,28.3,4.03,3.60,1946,1639,307,93,132,445,17529.2,17186,7852,7014,1243,5969,789,9849,257,172,443,74060,,1.321,.286,8.8,0.6,3.1,5.1,1.65,1689
41,1979,12,181,28.2,4.22,3.73,1942,1580,362,82,121,423,17426.2,17229,8186,7224,1427,6188,806,9920,332,111,493,74116,,1.344,.286,8.9,0.7,3.2,5.1,1.60,1669
42,1978,12,177,28.0,3.99,3.57,1942,1553,389,108,144,414,17333.1,16556,7742,6885,1276,6279,844,9905,330,184,501,73318,,1.317,.280,8.6,0.7,3.3,5.1,1.58,1683
43,1977,12,178,27.3,4.40,3.91,1944,1623,321,84,121,429,17515.0,17465,8556,7607,1631,6487,755,10488,330,157,540,74905,,1.368,.287,9.0,0.8,3.3,5.4,1.62,1724
44,1976,12,173,27.4,3.98,3.50,1944,1495,449,131,164,362,17457.1,16778,7739,6792,1113,6263,685,9602,310,116,556,73933,,1.320,.281,8.6,0.6,3.2,5.0,1.53,1742
45,1975,12,176,27.1,4.13,3.62,1942,1515,427,107,129,350,17450.1,17002,8014,7020,1233,6730,795,9793,367,153,606,74833,,1.360,.284,8.8,0.6,3.5,5.1,1.46,1859
46,1974,12,185,27.2,4.15,3.62,1944,1505,439,113,142,257,17493.2,16907,8070,7031,1280,6828,833,9971,360,140,593,74951,,1.357,.282,8.7,0.7,3.5,5.1,1.46,1848
47,1973,12,175,27.3,4.15,3.66,1942,1495,447,118,143,429,17482.0,16817,8062,7111,1550,6453,862,10507,358,52,591,74364,,1.331,.280,8.7,0.8,3.3,5.4,1.63,1745
48,1972,12,174,27.1,3.91,3.45,1860,1353,507,139,164,361,16796.2,15683,7265,6445,1359,5985,729,10544,358,63,598,70816,,1.290,.277,8.4,0.7,3.2,5.6,1.76,1619
49,1971,12,175,27.4,3.91,3.47,1944,1399,545,134,151,329,17475.2,16590,7601,6730,1379,6059,736,10542,395,52,589,73769,,1.296,.279,8.5,0.7,3.1,5.4,1.74,1613
50,1970,12,188,27.1,4.52,4.05,1942,1472,470,104,124,411,17411.2,17151,8771,7827,1683,6919,826,11417,393,73,632,75109,,1.382,.287,8.9,0.9,3.6,5.9,1.65,1698
51,1969,12,184,27.0,4.05,3.59,1946,1415,531,131,166,356,17387.1,16461,7890,6941,1470,6397,768,11628,443,79,648,73923,,1.315,.282,8.5,0.8,3.3,6.0,1.82,1758
52,1968,10,138,27.4,3.43,2.99,1626,1155,471,156,185,293,14680.2,13351,5577,4870,891,4275,694,9502,352,37,498,60728,,1.201,.277,8.2,0.5,2.6,5.8,2.22,1389
53,1967,10,167,27.4,3.84,3.38,1620,1203,417,104,121,293,14582.2,13698,6218,5470,1102,4672,804,9468,354,54,478,61180,,1.260,.281,8.5,0.7,2.9,5.8,2.03,1408
54,1966,10,162,27.8,4.09,3.61,1618,1216,402,104,128,303,14551.1,14202,6624,5831,1378,4404,598,9312,363,45,526,61271,,1.279,.285,8.8,0.9,2.7,5.8,2.11,1475
55,1965,10,148,28.3,4.03,3.54,1626,1210,416,103,126,306,14643.0,13794,6558,5758,1318,4730,596,9649,404,25,550,61600,,1.265,.279,8.5,0.8,2.9,5.9,2.04,1486
56,1964,10,162,28.2,4.01,3.54,1624,1176,448,114,135,306,14523.1,14032,6517,5705,1211,4394,543,9256,327,36,489,61178,,1.269,.284,8.7,0.8,2.7,5.7,2.11,1586
57,1963,10,142,28.3,3.81,3.29,1622,1163,459,129,154,276,14553.2,13434,6181,5317,1215,4560,514,9545,372,147,486,60868,,1.236,.275,8.3,0.8,2.8,5.9,2.09,1577
58,1962,10,142,27.8,4.48,3.94,1624,1166,458,82,95,287,14490.0,14453,7278,6345,1449,5265,452,9032,373,48,545,62164,,1.361,.287,9.0,0.9,3.3,5.6,1.72,1555
59,1961,8,107,27.4,4.52,4.03,1238,910,328,64,73,212,11026.2,11029,5600,4939,1196,3995,442,6622,254,33,356,47266,,1.363,.284,9.0,1.0,3.3,5.4,1.66,1167
60,1960,8,118,27.4,4.24,3.76,1238,884,354,75,84,214,11120.1,10745,5250,4649,1042,3937,447,6824,220,30,310,47214,,1.320,.280,8.7,0.8,3.2,5.5,1.73,1124
61,1959,8,127,27.7,4.40,3.95,1240,864,376,81,85,173,11047.1,11015,5462,4845,1159,3974,450,6525,232,24,285,47392,,1.357,.281,9.0,0.9,3.2,5.3,1.64,1113
62,1958,8,136,27.7,4.40,3.95,1232,876,356,57,64,202,11025.2,11026,5419,4841,1183,4065,420,6192,247,38,280,47298,,1.369,.280,9.0,1.0,3.3,5.1,1.52,1083
63,1957,8,128,27.6,4.38,3.88,1238,882,356,72,75,195,11217.2,11162,5426,4834,1178,3866,387,6150,237,15,237,47883,,1.340,.278,9.0,0.9,3.1,4.9,1.59,1101
64,1956,8,121,28.6,4.25,3.77,1242,882,360,62,67,196,11063.1,10716,5275,4636,1219,3982,504,5694,200,13,234,46999,,1.329,.269,8.7,1.0,3.2,4.6,1.43,1082
65,1955,8,130,28.0,4.53,4.04,1232,847,385,62,70,154,10984.1,10808,5578,4928,1263,4240,424,5419,236,17,232,47150,,1.370,.269,8.9,1.0,3.5,4.4,1.28,1135
66,1954,8,119,28.5,4.56,4.07,1232,853,377,77,83,178,11021.2,11142,5624,4987,1114,4414,402,5086,229,17,223,47756,,1.411,.277,9.1,0.9,3.6,4.2,1.15,1154
67,1953,8,109,28.5,4.75,4.29,1244,814,430,68,73,163,10971.2,11342,5914,5225,1197,4220,334,5307,224,29,217,47660,,1.418,.281,9.3,1.0,3.5,4.4,1.26,1182
68,1952,8,123,28.4,4.17,3.73,1236,793,443,89,94,147,11027.2,10577,5158,4573,907,4157,355,5240,236,21,195,46903,,1.336,.271,8.6,0.7,3.4,4.3,1.26,1144
69,1951,8,113,28.6,4.46,3.96,1244,785,459,95,96,134,11154.0,11088,5552,4907,1024,4369,311,4746,222,32,246,47909,,1.386,.272,8.9,0.8,3.5,3.8,1.09,1199
70,1950,8,114,28.3,4.66,4.14,1236,739,497,79,81,133,11009.2,11085,5760,5066,1100,4537,343,5007,220,76,219,47629,,1.419,.275,9.1,0.9,3.7,4.1,1.10,1204
71,1949,8,104,28.8,4.54,4.04,1244,772,472,88,89,109,11097.2,11183,5646,4982,935,4393,278,4577,194,25,199,47644,,1.404,.275,9.1,0.8,3.6,3.7,1.04,1189
72,1948,8,129,28.9,4.42,3.95,1238,785,453,71,73,141,10955.2,11010,5474,4814,845,4396,410,4717,158,17,200,47195,,1.406,.277,9.0,0.7,3.6,3.9,1.07,1256
73,1947,8,126,29.2,4.57,4.06,1240,782,458,83,84,136,10967.1,11254,5665,4948,886,4464,569,4500,174,26,205,47334,,1.433,.277,9.2,0.7,3.7,3.7,1.01,1154
74,1946,8,148,29.6,3.96,3.41,1242,750,492,95,103,119,11085.1,10748,4918,4204,562,4379,460,4429,172,13,179,47479,,1.365,.275,8.7,0.5,3.6,3.6,1.01,1259
75,1945,8,127,30.5,4.45,3.80,1236,721,515,80,83,125,11039.1,11347,5501,4660,577,4151,460,3865,201,25,180,47988,,1.404,.281,9.3,0.5,3.4,3.2,0.93,1405
76,1944,8,123,29.7,4.26,3.61,1246,684,562,94,96,106,11155.1,11188,5308,4475,575,3972,445,3919,169,15,177,47970,,1.359,.276,9.0,0.5,3.2,3.2,0.99,1361
77,1943,8,115,29.9,3.92,3.38,1242,691,551,102,105,117,11175.2,10945,4873,4201,432,4027,357,4059,155,22,173,47577,,1.340,.274,8.8,0.3,3.2,3.3,1.01,1313
78,1942,8,111,28.9,3.90,3.31,1226,685,541,89,92,99,11017.2,10386,4785,4056,538,4068,351,4195,171,21,184,46796,,1.312,.266,8.5,0.4,3.3,3.4,1.03,1312
79,1941,8,119,29.0,4.24,3.63,1244,728,516,92,93,110,11112.2,11042,5269,4486,597,4147,353,4411,163,15,211,47804,,1.367,.277,8.9,0.5,3.4,3.6,1.06,1400
