,Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
0,2020,15,314,27.6,4.58,898,37.09,33.00,4.58,8.01,1.58,0.13,1.27,4.38,0.50,0.16,3.36,8.81,.243,.319,.414,.733,13.67,0.67,0.42,0.07,0.22,0.08
1,2019,15,616,27.7,4.88,2428,38.42,34.41,4.88,8.71,1.78,0.16,1.43,4.67,0.47,0.18,3.26,8.82,.253,.323,.439,.762,15.11,0.71,0.39,0.10,0.25,0.11
2,2018,15,603,28.2,4.53,2430,37.96,34.04,4.53,8.48,1.76,0.16,1.19,4.32,0.52,0.19,3.14,8.32,.249,.318,.415,.734,14.14,0.73,0.41,0.11,0.26,0.13
3,2017,15,577,28.6,4.71,2430,38.12,34.17,4.71,8.74,1.73,0.14,1.30,4.49,0.52,0.19,3.20,8.15,.256,.324,.429,.753,14.65,0.81,0.36,0.11,0.25,0.15
4,2016,15,575,28.7,4.52,2428,37.91,34.15,4.52,8.77,1.71,0.15,1.22,4.32,0.47,0.18,3.03,7.86,.257,.321,.423,.744,14.44,0.79,0.32,0.14,0.25,0.14
5,2015,15,598,28.5,4.39,2428,37.82,34.12,4.39,8.71,1.72,0.19,1.08,4.18,0.49,0.22,2.90,7.53,.255,.318,.412,.730,14.06,0.77,0.34,0.19,0.27,0.16
6,2014,15,575,28.7,4.18,2430,37.94,34.21,4.18,8.66,1.70,0.16,0.89,3.97,0.57,0.20,2.92,7.51,.253,.316,.390,.706,13.34,0.76,0.34,0.19,0.28,0.19
7,2013,15,565,28.7,4.33,2432,38.14,34.28,4.33,8.77,1.72,0.14,1.03,4.12,0.59,0.21,3.10,7.54,.256,.320,.404,.725,13.86,0.76,0.29,0.19,0.28,0.18
8,2012,14,506,28.7,4.45,2268,37.97,34.14,4.45,8.72,1.68,0.16,1.10,4.25,0.66,0.22,3.04,7.33,.255,.320,.411,.731,14.03,0.78,0.32,0.20,0.26,0.19
9,2011,14,483,28.7,4.46,2268,38.13,34.21,4.46,8.82,1.77,0.18,1.00,4.25,0.71,0.27,3.08,6.87,.258,.323,.408,.730,13.95,0.76,0.33,0.23,0.28,0.21
10,2010,14,506,29.0,4.45,2268,38.25,34.16,4.45,8.88,1.77,0.16,0.97,4.23,0.66,0.24,3.25,6.71,.260,.327,.407,.734,13.89,0.79,0.32,0.24,0.28,0.20
11,2009,14,491,29.0,4.82,2270,38.56,34.35,4.82,9.16,1.82,0.17,1.13,4.60,0.68,0.24,3.39,6.74,.267,.336,.428,.764,14.70,0.80,0.32,0.22,0.29,0.18
12,2008,14,506,29.0,4.78,2268,38.64,34.44,4.78,9.22,1.89,0.18,1.00,4.56,0.58,0.22,3.32,6.54,.268,.336,.420,.756,14.47,0.84,0.36,0.21,0.30,0.23
13,2007,14,495,29.3,4.90,2268,38.72,34.52,4.90,9.34,1.90,0.19,0.99,4.67,0.60,0.22,3.31,6.50,.271,.338,.423,.761,14.60,0.85,0.36,0.22,0.30,0.23
14,2006,14,488,29.1,4.97,2268,38.66,34.61,4.97,9.51,1.90,0.17,1.12,4.74,0.55,0.22,3.20,6.27,.275,.339,.437,.776,15.12,0.84,0.35,0.20,0.30,0.23
