,Year,Tms,#P,PAge,R/G,ERA,G,GF,CG,SHO,tSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,WHIP,BAbip,H9,HR9,BB9,SO9,SO/W,E
0,2020,15,375,28.2,4.63,4.42,898,887,11,5,42,229,7779.1,7266,4159,3823,1160,3024,76,7776,399,26,350,33418,,1.323,.291,8.4,1.3,3.5,9.0,2.57,498
1,2019,15,456,28.4,4.95,4.60,2428,2401,27,15,125,573,21690.2,21310,12018,11097,3490,7921,271,21241,963,82,1005,93448,,1.348,.299,8.8,1.4,3.3,8.8,2.68,1455
2,2018,15,420,28.6,4.56,4.27,2430,2405,25,11,143,623,21660.2,20755,11075,10265,2932,7666,319,20425,996,65,1014,92439,,1.312,.296,8.6,1.2,3.2,8.5,2.66,1363
3,2017,15,417,28.6,4.67,4.37,2430,2398,32,14,126,574,21630.2,21099,11337,10493,3145,7721,382,19946,855,72,946,92441,,1.332,.297,8.8,1.3,3.2,8.3,2.58,1430
4,2016,15,387,28.6,4.47,4.20,2428,2384,44,15,122,644,21611.0,21293,10856,10089,2934,7280,332,19244,771,73,889,91957,,1.322,.299,8.9,1.2,3.0,8.0,2.64,1359
5,2015,15,383,28.3,4.29,4.01,2428,2362,66,30,158,639,21694.1,21015,10422,9655,2554,6961,391,18423,820,62,938,91705,,1.290,.296,8.7,1.1,2.9,7.6,2.65,1407
6,2014,15,370,28.5,4.14,3.81,2430,2369,61,31,173,619,21798.2,20962,10052,9239,2151,7017,462,18588,832,74,863,92156,,1.284,.298,8.7,0.9,2.9,7.7,2.65,1459
7,2013,15,349,28.7,4.29,3.99,2432,2368,64,30,158,637,21806.0,21312,10436,9662,2509,7421,452,18536,736,61,904,92681,,1.318,.298,8.8,1.0,3.1,7.7,2.50,1342
8,2012,14,325,28.2,4.40,4.08,2268,2199,69,34,142,590,20285.0,19708,9980,9195,2453,6815,442,16711,735,88,724,85973,,1.308,.293,8.7,1.1,3.0,7.4,2.45,1348
9,2011,14,325,28.2,4.43,4.08,2268,2175,93,39,149,536,20283.1,19919,10036,9189,2224,6949,465,15655,758,63,776,86425,,1.325,.293,8.8,1.0,3.1,6.9,2.25,1432
