,Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
0,2020,15,327,28.4,4.71,898,33202,29399,4227,7245,1402,126,1161,4043,431,144,3078,7674,.246,.325,.421,.746,12382,634,448,60,202,127
1,2019,15,727,28.2,4.78,2430,93238,83094,11608,20885,4213,400,3298,11141,1133,397,7979,21408,.251,.323,.431,.753,35792,1735,1048,531,555,478
2,2018,15,730,27.9,4.37,2432,92885,82722,10631,20403,3993,457,2685,10116,1215,490,8049,21001,.247,.318,.403,.722,33365,1694,919,564,609,605
3,2017,15,697,28.0,4.58,2430,92673,82533,11139,20985,4203,461,2935,10657,1255,476,8044,20310,.254,.325,.423,.748,34915,1846,879,653,554,609
4,2016,15,717,28.2,4.44,2428,92540,82635,10774,20977,4100,502,2657,10249,1388,553,7723,19886,.254,.322,.412,.734,34052,1802,881,675,607,590
5,2015,15,713,28.2,4.11,2430,91790,82652,9996,20947,4076,480,2275,9508,1320,531,7026,19165,.253,.316,.397,.713,32808,1878,776,747,575,552
6,2014,15,671,28.2,3.95,2430,91739,82491,9600,20562,4005,459,2025,9109,1370,543,6929,19196,.249,.312,.383,.694,31560,1755,822,886,598,514
7,2013,15,673,28.3,4.00,2430,92116,82690,9730,20768,4039,424,2157,9243,1265,494,7106,18374,.251,.315,.389,.703,32126,1872,838,920,549,575
8,2012,16,724,28.4,4.22,2592,98064,87814,10929,22283,4453,558,2434,10370,1728,635,7813,19808,.254,.318,.400,.718,35154,1840,769,1024,628,634
9,2011,16,718,28.8,4.13,2590,98763,88119,10691,22263,4394,487,2281,10159,1679,642,8032,18900,.253,.319,.391,.710,34474,1802,816,1137,640,759
10,2010,16,693,28.8,4.33,2592,98809,87886,11211,22423,4470,498,2404,10688,1454,589,8411,19092,.255,.324,.399,.723,35101,1917,822,1006,675,759
11,2009,16,710,28.7,4.43,2590,99541,87884,11481,22741,4606,561,2482,10927,1429,591,8926,18282,.259,.331,.409,.739,35915,1979,865,1138,718,770
12,2008,16,720,28.7,4.54,2588,100001,88595,11741,23071,4729,478,2608,11203,1482,547,8816,18050,.260,.331,.413,.744,36580,1985,856,1049,679,780
13,2007,16,714,29.0,4.71,2594,100807,89489,12208,23796,4898,505,2705,11664,1564,506,8576,17449,.266,.334,.423,.757,37819,2063,934,1045,752,791
14,2006,16,697,29.2,4.76,2590,100395,88844,12337,23501,4834,561,2840,11748,1515,610,8600,17426,.265,.334,.427,.761,37977,2039,1030,1190,719,881
15,2005,16,682,29.4,4.45,2594,99324,88120,11535,23058,4754,468,2580,10982,1349,560,8396,16880,.262,.330,.414,.744,36488,2052,980,1151,669,768
16,2004,16,667,29.4,4.64,2590,100207,88622,12018,23271,4687,494,2846,11434,1336,527,8736,17299,.263,.333,.423,.756,37484,2023,944,1190,704,869
17,2003,16,679,29.5,4.61,2590,99819,88426,11945,23126,4657,491,2708,11381,1294,585,8666,16996,.262,.332,.417,.749,36889,2064,967,1093,660,780
18,2002,16,650,29.5,4.45,2588,99441,87794,11516,22753,4482,488,2595,10961,1514,703,8921,17161,.259,.331,.410,.741,35996,2085,895,1134,689,964
19,2001,16,688,29.3,4.70,2592,99453,88100,12186,23027,4613,488,2952,11580,1456,735,8567,17908,.261,.331,.425,.756,37472,1925,969,1074,739,865
20,2000,16,698,29.1,5.00,2593,101254,88743,12976,23594,4632,532,3005,12317,1627,736,9735,17344,.266,.342,.432,.773,38305,1978,898,1062,809,753
21,1999,16,647,28.9,5.00,2591,101268,89011,12966,23880,4619,512,2893,12321,1959,830,9602,17153,.268,.342,.429,.771,38202,1927,799,1097,751,676
22,1998,16,651,28.5,4.60,2596,100105,88700,11932,23213,4493,491,2565,11313,1609,751,8710,17455,.262,.331,.410,.741,36383,1932,824,1167,691,647
23,1997,14,588,28.7,4.60,2268,87376,77203,10440,20300,3907,485,2163,9876,1817,841,7704,15320,.263,.333,.410,.744,31666,1645,773,1030,643,629
24,1996,14,587,28.7,4.68,2268,87529,77711,10623,20398,3782,434,2220,9987,1785,709,7501,15252,.262,.330,.408,.738,31708,1699,683,974,648,734
25,1995,14,588,28.2,4.63,2014,77826,69049,9329,18184,3367,418,1917,8745,1602,671,6668,13309,.263,.331,.408,.739,28138,1478,624,947,531,613
26,1994,14,497,28.3,4.62,1606,61930,55068,7422,14695,2784,377,1532,6973,1141,529,5193,10147,.267,.333,.415,.747,22829,1206,451,758,455,559
27,1993,14,565,28.0,4.49,2270,86985,77489,10190,20427,3588,513,1956,9533,1714,788,7104,13358,.264,.327,.399,.726,30909,1638,567,1110,701,743
28,1992,12,485,28.2,3.88,1944,73658,65748,7539,16538,2967,459,1262,7060,1560,741,5978,11342,.252,.315,.368,.684,24209,1301,395,983,545,689
29,1991,12,477,28.4,4.10,1940,73441,65365,7955,16363,2819,441,1430,7438,1651,809,6254,11446,.250,.317,.373,.689,24354,1198,367,891,562,626
30,1990,12,491,28.3,4.20,1944,73989,65968,8173,16917,2967,405,1521,7650,1787,727,6221,11164,.256,.321,.383,.704,25257,1233,352,876,564,797
31,1989,12,466,28.4,3.94,1946,73829,65817,7673,16215,2903,411,1365,7126,1529,715,6251,11354,.246,.312,.365,.678,24035,1229,318,899,536,853
32,1988,12,454,28.1,3.88,1938,73259,65563,7522,16277,2828,415,1279,7040,1789,729,5793,11032,.248,.310,.363,.673,23772,1305,368,938,589,766
33,1987,12,475,28.2,4.52,1942,74521,66276,8771,17275,3126,435,1824,8233,1851,757,6577,11657,.261,.328,.404,.732,26743,1407,349,823,481,782
34,1986,12,453,28.5,4.18,1938,74006,65730,8096,16643,2991,387,1523,7557,1842,858,6560,11648,.253,.322,.380,.702,24977,1360,312,869,519,803
35,1985,12,440,28.7,4.07,1942,73863,65818,7899,16596,2861,437,1424,7392,1636,716,6373,10674,.252,.319,.374,.692,24603,1482,280,901,486,780
36,1984,12,448,28.5,4.06,1942,73708,65919,7894,16842,2770,451,1278,7333,1728,773,6149,10929,.255,.319,.369,.688,24348,1419,249,809,570,707
37,1983,12,461,28.5,4.10,1948,73922,65717,7993,16781,2753,484,1398,7446,1786,870,6424,10749,.255,.322,.376,.698,24696,1417,292,921,548,813
38,1982,12,442,28.5,4.09,1944,74102,66263,7947,17085,2823,445,1299,7434,1782,822,5964,10300,.258,.319,.373,.692,24695,1350,305,978,580,799
39,1981,12,426,28.4,3.91,1288,49024,43654,5035,11141,1881,354,719,4688,1108,543,4107,6332,.255,.319,.364,.683,15887,962,185,688,379,505
40,1980,12,431,28.5,4.03,1946,74060,66272,7852,17186,2856,523,1243,7354,1839,835,5969,9849,.259,.320,.374,.695,24817,1394,257,967,577,789
41,1979,12,420,28.3,4.22,1942,74116,66088,8186,17229,2886,518,1427,7650,1486,767,6188,9920,.261,.325,.385,.709,25432,1413,332,949,549,806
42,1978,12,429,27.8,3.99,1942,73318,65156,7742,16556,2861,482,1276,7210,1533,725,6279,9905,.254,.320,.372,.692,24209,1368,330,970,573,844
43,1977,12,421,27.4,4.40,1944,74905,66700,8556,17465,3033,526,1631,7986,1555,843,6487,10488,.262,.328,.396,.724,26443,1399,330,847,522,755
44,1976,12,421,27.6,3.98,1944,73933,65814,7739,16778,2652,499,1113,7178,1364,677,6263,9602,.255,.320,.361,.681,23767,1468,310,975,559,685
45,1975,12,428,27.2,4.13,1942,74833,66102,8014,17002,2781,458,1233,7409,1176,558,6730,9793,.257,.327,.369,.696,24398,1509,367,1082,536,795
46,1974,12,450,27.1,4.15,1944,74951,66212,8070,16907,2642,447,1280,7430,1254,625,6828,9971,.255,.326,.367,.693,24283,1494,360,983,552,833
47,1973,12,431,27.3,4.15,1942,74364,66087,8062,16817,2600,386,1550,7485,976,552,6453,10507,.254,.322,.376,.698,24839,1521,358,958,496,862
