,Year,G,ATL,BLN,BUF,CHC,CIN,CIN,CIN,CLV,CLV,DTN,HAR,IND,IND,KCN,LAD,LOU,LOU,MLG,NYU,ATH,PHI,PIT,PRO,SFG,STL,STL,SLM,SYR,TRO,WHS,WHS,WOR
0,1900,140,66,,,65,62,,,,,,,,,,82,,,,,,75,79,,60,,65,,,,,,
1,1899,154,95,86,,75,83,,,,20,,,,,,101,75,,,,,94,76,,60,,84,,,,,54,
2,1898,152,102,96,,85,92,,,,81,,,,,,54,70,,,,,78,72,,77,,39,,,,,51,
3,1897,132,93,90,,59,76,,,,69,,,,,,61,52,,,,,55,60,,83,,29,,,,,61,
4,1896,131,74,90,,71,77,,,,80,,,,,,58,38,,,,,62,66,,64,,40,,,,,58,
5,1895,132,71,87,,72,66,,,,84,,,,,,71,35,,,,,78,71,,66,,39,,,,,43,
6,1894,132,83,89,,57,55,,,,68,,,,,,70,36,,,,,71,65,,88,,56,,,,,45,
7,1893,132,86,60,,56,65,,,,73,,,,,,65,50,,,,,72,81,,68,,57,,,,,40,
8,1892,154,102,46,,70,82,,,,93,,,,,,95,63,,,,,87,80,,71,,56,,,,,58,
9,1891,139,87,,,82,56,,,,65,,,,,,61,,,,,,68,55,,71,,,,,,,,
10,1890,136,76,,,83,77,,,,44,,,,,,86,,,,,,78,23,,63,,,,,,,,
11,1889,134,83,,,67,,,,,61,,,,59,,,,,,,,63,61,,83,,,,,,41,,
12,1888,135,70,,,77,,,,,,68,,,50,,,,,,,,69,66,,84,,,,,,48,,
13,1887,126,61,,,71,,,,,,79,,,37,,,,,,,,75,55,,68,,,,,,46,,
14,1886,124,56,,,90,,,,,,87,,,,30,,,,,,,71,,,75,,,43,,,28,,
15,1885,112,46,,38,87,,,,,,41,,,,,,,,,,,56,,53,85,,,36,,,,,
16,1884,112,73,,64,62,,,,35,,28,,,,,,,,,,,39,,84,62,,,,,,,,
17,1883,98,63,,52,59,,,,55,,40,,,,,,,,,,,17,,58,46,,,,,,,,
18,1882,84,45,,45,55,,,,42,,42,,,,,,,,,,,,,52,,,,,,35,,,18
19,1881,84,38,,45,56,,,,36,,41,,,,,,,,,,,,,47,,,,,,39,,,32
20,1880,84,40,,24,67,,,21,47,,,,,,,,,,,,,,,52,,,,,,41,,,40
21,1879,84,54,,46,46,,43,,27,,,,,,,,,,,,,,,59,,,,,22,19,,,
22,1878,60,41,,,30,,37,,,,,,24,,,,,,15,,,,,33,,,,,,,,,
23,1877,60,42,,,26,,15,,,,,31,,,,,,35,,,,,,,,28,,,,,,,
24,1876,70,39,,,52,,9,,,,,47,,,,,,30,,21,14,,,,,45,,,,,,,
