,Year,Tms,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
0,2020,15,314,27.6,4.58,898,33304,29631,4117,7194,1421,115,1143,3935,453,148,3014,7912,.243,.319,.414,.733,12274,603,373,66,200,75
1,2019,15,616,27.7,4.88,2428,93280,83557,11859,21154,4318,385,3478,11330,1147,435,7916,21415,.253,.323,.439,.762,36676,1728,936,245,595,275
2,2018,15,603,28.2,4.53,2430,92254,82710,10999,20615,4271,390,2900,10490,1259,468,7637,20206,.249,.318,.415,.734,34366,1763,1003,259,626,324
3,2017,15,577,28.6,4.71,2430,92622,83034,11443,21230,4194,334,3170,10901,1272,458,7785,19794,.256,.324,.429,.753,35602,1958,884,272,614,361
4,2016,15,575,28.7,4.52,2428,92040,82926,10970,21299,4154,371,2953,10496,1149,448,7365,19096,.257,.321,.423,.744,35054,1917,770,350,607,342
5,2015,15,598,28.5,4.39,2428,91838,82836,10651,21159,4166,459,2634,10142,1185,533,7047,18281,.255,.318,.412,.730,34145,1861,826,453,657,399
6,2014,15,575,28.7,4.18,2430,92190,83123,10161,21033,4132,390,2161,9636,1394,492,7091,18245,.253,.316,.390,.706,32428,1854,830,457,679,471
7,2013,15,565,28.7,4.33,2432,92757,83380,10525,21325,4183,348,2504,10028,1428,513,7534,18336,.256,.320,.404,.725,33716,1860,698,463,670,443
8,2012,14,506,28.7,4.45,2268,86116,77437,10088,19780,3808,369,2500,9628,1501,501,6896,16618,.255,.320,.411,.731,31826,1774,725,455,595,421
9,2011,14,483,28.7,4.46,2268,86482,77586,10117,20004,4005,411,2271,9645,1600,619,6986,15588,.258,.323,.408,.730,31644,1721,738,530,634,472
10,2010,14,506,29.0,4.45,2268,86744,77467,10097,20131,4016,368,2209,9600,1505,540,7367,15214,.260,.327,.407,.734,31510,1802,727,538,626,457
11,2009,14,491,29.0,4.82,2270,87538,77965,10938,20783,4131,388,2560,10437,1541,542,7694,15309,.267,.336,.428,.764,33370,1817,725,497,648,409
12,2008,14,506,29.0,4.78,2268,87630,78119,10844,20901,4285,408,2270,10338,1317,488,7521,14834,.268,.336,.420,.756,32812,1898,816,477,686,530
13,2007,14,495,29.3,4.90,2268,87816,78294,11114,21181,4299,433,2252,10593,1354,496,7503,14740,.271,.338,.423,.761,33102,1920,821,495,689,532
14,2006,14,488,29.1,4.97,2268,87676,78497,11262,21572,4301,391,2546,10743,1252,500,7247,14229,.275,.339,.437,.776,34293,1906,787,461,677,529
15,2005,14,487,29.0,4.76,2268,86968,78215,10790,20933,4109,420,2437,10266,1216,509,6811,13764,.268,.330,.424,.755,33193,1856,817,469,646,448
16,2004,14,499,29.2,5.01,2266,88332,78731,11358,21251,4232,404,2605,10814,1253,573,7486,14529,.270,.338,.433,.771,34106,1761,906,541,659,512
17,2003,14,494,28.7,4.86,2270,87630,78311,11033,20931,4170,443,2499,10505,1279,547,7223,13805,.267,.333,.428,.761,33484,1786,882,533,676,536
18,2002,14,483,28.8,4.81,2264,87174,77788,10892,20519,4218,433,2464,10371,1236,579,7325,14233,.264,.331,.424,.755,32995,1760,851,499,710,488
19,2001,14,496,29.0,4.86,2266,87523,78134,11013,20852,4200,440,2506,10508,1647,673,7239,14496,.267,.334,.428,.762,33450,1728,921,533,685,519
20,2000,14,495,29.1,5.30,2265,89007,78547,11995,21652,4269,420,2688,11418,1297,587,8502,14012,.276,.349,.443,.792,34825,1914,675,566,705,457
21,1999,14,492,28.8,5.18,2265,88424,78126,11725,21447,4121,419,2635,11140,1462,689,8289,13966,.275,.347,.439,.786,34311,1914,780,507,713,431
22,1998,14,488,29.3,5.01,2268,88175,78416,11365,21276,4248,408,2499,10767,1675,754,7737,14438,.271,.340,.432,.771,33837,1772,763,538,711,420
23,1997,14,499,29.1,4.93,2264,88167,78235,11164,21171,4097,398,2477,10592,1491,723,7962,14617,.271,.340,.428,.768,33495,1795,676,547,740,540
24,1996,14,345,28.9,5.39,2266,89734,79090,12208,21922,4205,421,2742,11583,1454,634,8592,14056,.277,.350,.445,.795,35195,1910,721,570,752,609
25,1995,14,341,29.0,5.06,2020,78878,69522,10225,18791,3591,406,2164,9691,1331,586,7572,12116,.270,.344,.427,.771,29686,1667,595,541,642,492
26,1994,14,291,29.1,5.23,1594,62553,55198,8330,15048,2939,325,1774,7885,1117,503,5938,9619,.273,.345,.434,.779,23959,1236,425,449,537,449
27,1993,14,352,28.9,4.71,2268,87579,77506,10674,20661,3861,427,2074,10063,1549,872,8006,12952,.267,.337,.408,.745,31598,1793,633,701,729,734
28,1992,14,334,28.6,4.32,2268,86887,77147,9802,20006,3596,386,1776,9222,1704,860,7704,12196,.259,.328,.385,.713,29702,1808,585,682,749,626
29,1991,14,351,28.5,4.49,2268,87305,77603,10172,20195,3680,453,1953,9610,1469,758,7730,12944,.260,.329,.395,.724,30640,1823,538,733,687,602
30,1990,14,335,28.6,4.30,2266,86327,76800,9746,19900,3559,460,1796,9154,1503,783,7631,12689,.259,.327,.388,.715,29767,1844,509,683,697,587
31,1989,14,348,28.5,4.29,2266,86204,77004,9732,20078,3404,457,1718,9103,1587,726,7277,12296,.261,.326,.384,.709,29550,1835,483,727,704,593
32,1988,14,327,28.5,4.36,2262,86121,77005,9858,19967,3558,425,1901,9179,1512,689,7191,12323,.259,.324,.391,.715,30078,1782,550,692,676,601
33,1987,14,339,28.4,4.90,2268,87401,77819,11112,20620,3667,461,2634,10480,1734,772,7812,13442,.265,.333,.425,.759,33111,1717,493,632,629,505
34,1986,14,330,28.9,4.61,2268,86852,77376,10449,20237,3520,468,2290,9839,1470,762,7667,13058,.262,.330,.408,.737,31563,1759,500,646,656,486
35,1985,14,325,29.0,4.56,2264,86457,77257,10317,20182,3562,528,2178,9737,1461,715,7465,11777,.261,.327,.406,.733,31334,1811,419,648,658,557
36,1984,14,325,28.8,4.42,2268,86858,77910,10027,20539,3443,534,1980,9445,1304,738,7171,11571,.264,.326,.398,.724,30990,1774,419,626,716,563
37,1983,14,332,28.8,4.48,2270,86693,77821,10177,20662,3710,549,1903,9621,1539,749,7094,10967,.266,.328,.401,.728,31179,1879,425,640,708,566
38,1982,14,313,28.8,4.48,2270,87002,77886,10163,20566,3493,519,2080,9585,1394,795,7338,10921,.264,.328,.402,.730,31337,1797,372,762,641,520
39,1981,14,307,28.7,4.07,1500,56868,50813,6112,13016,2119,305,1062,5763,913,557,4761,6905,.256,.321,.373,.693,18931,1246,279,564,450,390
40,1980,14,337,28.0,4.51,2264,87150,77888,10201,20958,3489,553,1844,9574,1455,775,7221,10363,.269,.331,.399,.731,31085,1968,400,916,719,646
41,1979,14,315,27.8,4.67,2256,86262,76704,10527,20682,3529,548,2006,9908,1497,831,7413,10115,.270,.334,.408,.743,31325,1913,422,947,765,560
42,1978,14,322,27.5,4.20,2262,85874,76411,9509,19952,3325,538,1680,8888,1471,892,7287,10153,.261,.326,.385,.711,29393,1708,442,1016,701,494
43,1977,14,334,27.5,4.53,2262,86642,77275,10247,20572,3408,644,2013,9610,1462,936,7270,11234,.266,.330,.405,.735,31307,1740,461,917,709,542
44,1976,12,296,27.5,4.01,1934,73670,65711,7753,16820,2588,467,1122,7185,1690,867,6128,9143,.256,.320,.361,.681,23708,1442,374,818,624,471
45,1975,12,313,27.5,4.30,1926,73790,65371,8281,16861,2662,429,1465,7744,1348,811,6672,9487,.258,.328,.379,.707,24776,1505,394,791,551,543
46,1974,12,303,27.7,4.10,1946,73905,66044,7976,17062,2564,400,1369,7428,1234,758,6135,9524,.258,.323,.371,.694,24533,1589,414,751,552,520
47,1973,12,300,28.0,4.28,1944,74431,66276,8314,17193,2624,404,1552,7769,1058,661,6647,9851,.259,.328,.381,.710,25281,1608,397,592,513,495
48,1972,12,432,27.8,3.47,1858,69158,61712,6441,14751,2260,316,1175,6025,853,539,5742,10174,.239,.306,.343,.649,21168,1430,393,893,402,649
49,1971,12,422,27.7,3.87,1932,72946,64641,7472,15957,2426,351,1484,6992,865,547,6477,10414,.247,.317,.364,.681,23537,1544,426,884,503,660
50,1970,12,428,27.6,4.17,1946,74234,65675,8109,16404,2492,373,1746,7589,863,562,6808,10957,.250,.322,.379,.701,24880,1509,432,811,489,638
51,1969,12,440,27.3,4.09,1946,74290,65536,7960,16120,2385,378,1649,7366,1033,570,7032,10845,.246,.321,.369,.690,24208,1484,439,778,484,668
52,1968,10,351,27.2,3.41,1624,60105,53709,5532,12359,1874,338,1104,5125,811,471,4881,9641,.230,.297,.339,.637,18221,1072,426,713,366,529
53,1967,10,368,27.2,3.70,1620,60678,54179,5992,12766,1949,365,1197,5531,679,470,4993,9945,.236,.303,.351,.654,19036,1060,397,751,348,491
54,1966,10,360,27.2,3.89,1612,60432,54082,6276,13005,2021,408,1365,5838,718,432,4927,9493,.240,.306,.369,.674,19937,1168,319,710,379,490
55,1965,10,365,27.3,3.94,1620,61175,54362,6388,13158,2077,365,1370,5943,704,355,5306,9634,.242,.311,.369,.680,20075,1184,316,779,400,534
56,1964,10,352,27.5,4.06,1628,61828,55180,6607,13637,2109,333,1551,6189,540,300,5227,9956,.247,.315,.382,.696,21065,1240,367,673,368,472
57,1963,10,356,27.7,4.08,1616,61502,55011,6599,13609,2114,352,1489,6179,552,270,5031,9228,.247,.312,.380,.692,20894,1139,342,716,388,419
58,1962,10,369,27.8,4.44,1618,62406,55239,7183,14068,2238,400,1552,6786,560,292,5671,8535,.255,.325,.394,.719,21762,1236,336,705,436,366
59,1961,10,359,28.2,4.53,1622,62325,54904,7342,14037,2226,404,1534,6840,578,311,5902,8325,.256,.329,.395,.724,21673,1256,319,733,448,290
60,1960,8,293,28.5,4.39,1234,47586,41838,5414,10689,1720,274,1086,5071,422,234,4447,5991,.255,.328,.388,.716,16215,1039,268,661,348,282
61,1959,8,296,28.8,4.36,1236,47354,41964,5391,10621,1690,267,1091,5027,414,235,4210,6079,.253,.323,.384,.707,16118,925,264,579,312,257
62,1958,8,286,28.5,4.17,1238,46859,41684,5159,10595,1623,290,1057,4865,353,280,4062,6033,.254,.322,.383,.705,15969,1015,252,531,322,259
63,1957,8,284,28.7,4.23,1232,47527,41987,5210,10703,1663,307,1024,4933,368,304,4301,5799,.255,.326,.382,.708,16052,1038,274,605,337,353
64,1956,8,288,28.4,4.66,1236,48249,42007,5756,10937,1680,353,1075,5399,348,253,5015,5811,.260,.341,.394,.735,16548,1030,281,601,329,279
65,1955,8,323,28.5,4.44,1236,47892,41817,5490,10802,1574,338,961,5145,317,247,4804,5385,.258,.336,.381,.717,15935,983,270,624,360,298
66,1954,8,273,28.4,4.19,1242,47815,41909,5203,10766,1639,386,823,4871,358,287,4618,5129,.257,.331,.373,.704,15646,980,212,675,370,357
67,1953,8,276,28.7,4.46,1236,47776,42358,5512,11117,1816,331,879,5189,326,302,4462,4906,.262,.336,.383,.720,16232,1043,263,671,,247
68,1952,8,284,28.7,4.18,1242,47919,42317,5191,10690,1716,339,794,4869,375,318,4630,5140,.253,.330,.365,.695,15466,1018,247,712,,350
69,1951,8,278,29.0,4.63,1234,48117,42361,5716,11103,1836,349,839,5327,413,311,4882,4589,.262,.342,.381,.723,16154,1105,227,619,,217
70,1950,8,269,28.8,5.04,1240,48744,42407,6253,11474,1829,423,973,5900,278,231,5418,4547,.271,.356,.402,.759,17068,1181,216,693,,208
71,1949,8,270,28.8,4.67,1236,48216,41669,5776,10961,1737,391,769,5387,366,299,5622,4364,.263,.353,.379,.732,15787,1177,176,729,,232
72,1948,8,261,29.0,4.72,1236,48328,42155,5840,11212,1846,450,710,5500,363,288,5227,4298,.266,.349,.382,.731,16088,1057,179,749,,271
73,1947,8,266,29.3,4.14,1246,47617,42002,5161,10739,1708,412,679,4818,399,333,4743,4628,.256,.333,.364,.698,15308,1007,132,719,,344
74,1946,8,311,29.6,4.06,1242,47527,42239,5037,10793,1827,401,653,4655,406,340,4400,5227,.256,.328,.364,.692,15381,977,143,722,,303
75,1945,8,263,30.4,3.90,1224,46778,41624,4774,10634,1674,392,430,4416,453,373,4146,4180,.255,.325,.346,.671,14382,890,154,837,,325
76,1944,8,259,29.9,4.09,1238,47713,42748,5058,11114,1771,413,459,4656,539,339,3949,4239,.260,.325,.353,.678,15088,966,173,833,,283
77,1943,8,258,28.7,3.89,1234,47538,42213,4795,10522,1728,369,473,4423,626,449,4325,4489,.249,.322,.341,.663,14407,947,173,809,,247
78,1942,8,254,27.9,4.26,1222,47135,41955,5211,10785,1797,400,533,4797,538,390,4316,4138,.257,.329,.357,.686,14981,896,165,684,,292
79,1941,8,268,28.0,4.74,1244,48682,43125,5902,11492,2066,508,734,5461,471,323,4741,4420,.266,.341,.389,.730,16776,942,148,648,,353
80,1940,8,250,27.9,4.97,1238,48295,43017,6147,11674,2167,513,883,5693,478,332,4494,4720,.271,.342,.407,.750,17516,934,151,608,,277
81,1939,8,261,27.7,5.21,1230,48479,42594,6404,11866,2107,498,796,5959,589,344,4654,4306,.279,.352,.407,.759,17357,933,148,1055,,239
82,1938,8,250,28.2,5.37,1226,48295,42500,6581,11935,2133,485,864,6205,542,324,4924,4242,.281,.358,.415,.773,17630,,164,681,,236
83,1937,8,251,28.5,5.23,1244,48929,43303,6503,12178,2294,539,806,6064,562,336,4776,4448,.281,.355,.415,.770,17968,,164,664,,262
84,1936,8,238,28.4,5.67,1236,49464,43747,7009,12657,2400,548,758,6524,562,320,4853,4032,.289,.363,.421,.784,18427,,194,654,,245
85,1935,8,244,28.3,5.09,1222,48544,42999,6219,12033,2212,525,663,5794,480,329,4550,3932,.280,.351,.402,.753,17284,,172,795,,235
86,1934,8,252,28.3,5.13,1230,48512,42929,6306,11966,2206,449,688,5870,547,315,4608,4282,.279,.351,.399,.750,17134,,144,804,,223
87,1933,8,234,28.3,5.00,1216,48014,42663,6081,11637,2091,545,607,5658,452,376,4365,3916,.273,.342,.390,.732,16639,,149,792,,170
88,1932,8,244,28.3,5.23,1230,48754,43419,6435,12015,2286,570,707,6002,545,409,4408,4021,.277,.346,.404,.750,17562,,170,718,,164
89,1931,8,247,28.1,5.14,1236,48723,43673,6354,12163,2320,538,576,5874,626,451,4177,4032,.279,.344,.396,.740,17287,,188,648,,194
90,1930,8,256,28.0,5.41,1232,48382,42878,6670,12337,2370,657,673,6160,599,422,3963,4086,.288,.351,.421,.772,18040,,206,1289,,130
91,1929,8,251,28.1,5.01,1226,47878,42180,6139,11974,2229,597,595,5662,642,505,4031,3517,.284,.349,.407,.756,17182,,192,1404,,143
92,1928,8,257,28.2,4.77,1234,47765,42144,5881,11835,2202,620,483,5414,700,481,3820,3689,.281,.344,.397,.741,16726,,229,1491,,131
93,1927,8,259,28.9,4.92,1238,48126,42117,6095,12025,2260,610,439,5568,788,511,4034,3398,.286,.352,.399,.751,16822,,264,1652,,
94,1926,8,243,28.5,4.73,1232,48007,41753,5831,11750,2194,568,424,5302,667,500,4230,3418,.281,.351,.392,.743,16352,,255,1711,,
95,1925,8,264,28.6,5.19,1232,48682,42573,6400,12419,2217,557,533,5790,716,586,4284,3292,.292,.360,.408,.768,17349,,267,1476,,
96,1924,8,272,28.7,4.97,1234,48444,42225,6137,12262,2200,553,397,5535,747,588,4148,3235,.290,.358,.397,.755,16759,,324,1581,,
97,1923,8,259,28.3,4.78,1232,48195,42016,5884,11870,2010,554,442,5257,743,601,4069,3613,.283,.351,.388,.739,16314,,341,1620,,
98,1922,8,246,28.7,4.74,1236,48102,42296,5863,12034,2033,586,525,5267,696,531,3798,3570,.285,.348,.398,.746,16814,,335,1577,,
99,1921,8,250,28.1,5.11,1232,48757,42796,6296,12516,2142,694,477,5649,684,546,3941,3579,.292,.356,.408,.765,17477,,318,1545,,
100,1920,8,261,28.0,4.76,1234,47840,41982,5868,11899,2005,621,369,5120,751,701,3804,3615,.283,.347,.387,.734,16253,,299,1624,,
101,1919,8,247,27.9,4.10,1120,42691,37388,4593,10021,1607,531,240,3963,916,,3367,3561,.268,.333,.359,.692,13410,,279,1507,,
102,1918,8,246,27.9,3.64,1016,38336,33535,3703,8502,1204,410,96,3120,974,,3208,3004,.254,.323,.322,.646,10814,,237,1264,,
103,1917,8,250,26.9,3.65,1244,46710,40670,4541,10075,1477,533,133,3830,1268,,3856,4192,.248,.318,.320,.638,13017,,306,1731,,
104,1916,8,272,26.9,3.68,1250,46898,40834,4599,10147,1540,552,144,3885,1425,433,4061,4705,.248,.321,.324,.645,13223,,318,1536,,
